chr17	60443158	60526242	APPBP2	1	Ensembl	ENSG00000062725	1.2945	1.86E-05
chr16	2047967	2089491	TSC2	0.931517961	Ensembl	ENSG00000103197	1.20585	1.86E-05
chr9	132891348	132946874	TSC1	0.924552594	Ensembl	ENSG00000165699	1.196833333	3.40E-05
chr2	201233443	201361836	CASP8	0.766705292	Ensembl	ENSG00000064012	0.9925	0.000160315
chr22	31753867	31908033	DEPDC5	0.74975323	Ensembl	ENSG00000100150	0.970555556	0.000465243
chr1	2508537	2526597	PANK4	0.712930776	Ensembl	ENSG00000157881	0.922888889	0.000139968
chrX	79144688	79175318	GPR174	0.691386636	Ensembl	ENSG00000147138	0.895	6.05E-05
chr22	30925130	30968774	MORC2	0.634897644	Ensembl	ENSG00000133422	0.821875	0.025517397
chr6	105273218	105454062	PREP	0.622672847	Ensembl	ENSG00000085377	0.80605	0.000290082
chr2	58839718	58911192	GNAS	0.563847045	Ensembl	ENSG00000087460	0.7299	0.001572461
chr3	56620132	56683265	FAM208A	0.559559676	synonym found: TASOR	ENSG00000163946	0.72435	0.000361513
chr6	13266542	13328583	TBC1D7	0.55778722	Ensembl	ENSG00000145979	0.722055556	0.000428537
chr18	23503470	23531822	C18orf8	0.556070555	synonym found: RMC1	ENSG00000141452	0.719833333	0.000136459
chr15	100602589	100651701	ASB7	0.541908073	Ensembl	ENSG00000183475	0.7015	0.001287048
chr3	172505508	172523475	TNFSF10	0.532080168	Ensembl	ENSG00000121858	0.688777778	0.000450813
chr11	125671522	125680874	ACRV1	0.523411013	Ensembl	ENSG00000134940	0.677555556	0.000530802
chr3	50347330	50350826	NPRL2	0.523325179	Ensembl	ENSG00000114388	0.677444444	0.010856355
chr11	124739942	124747210	NRGN	0.510081112	Ensembl	ENSG00000154146	0.6603	0.001485832
chr14	51240162	51257655	TMX1	0.508561864	Ensembl	ENSG00000139921	0.658333333	0.006548815
chr19	52838010	52857649	ZNF468	0.506287284	Ensembl	ENSG00000204604	0.655388889	0.000739178
chr15	49621037	49656232	DTWD1	0.50515919	Ensembl	ENSG00000104047	0.653928571	0.030003273
chr1	127549309	127553540	NPS	0.504557744	Ensembl	ENSG00000214285	0.65315	0.000310373
chr4	154626945	154753120	LRAT	0.501909789	Ensembl	ENSG00000121207	0.649722222	0.011054589
chr11	18606403	18634791	SPTY2D1	0.487446891	Ensembl	ENSG00000179119	0.631	0.002607206
chr12	49332409	49337188	C1QL4	0.484399812	Ensembl	ENSG00000186897	0.627055556	0.023627864
chr12	14365676	14502931	ATF7IP	0.482860178	Ensembl	ENSG00000171681	0.6250625	0.019185759
chr13	19633659	19673441	MPHOSPH8	0.479915025	Ensembl	ENSG00000196199	0.62125	0.004912621
chr18	12785478	12929643	PTPN2	0.470529162	Ensembl	ENSG00000175354	0.6091	0.009158092
chrY	22490397	22514637	PRY	0.470336037	Ensembl	ENSG00000169789	0.60885	0.094332078
chrY	22071756	22096007	PRY2	0.470336037	Ensembl	ENSG00000169807	0.60885	0.094332078
chr1	28812170	28871267	OPRD1	0.467844728	Ensembl	ENSG00000116329	0.605625	0.066108741
chr6	7268306	7347446	SSR1	0.467130166	Ensembl	ENSG00000124783	0.6047	0.001977145
chr17	41040541	41041450	KRTAP1-1	0.466444573	Ensembl	ENSG00000188581	0.6038125	0.009574299
chr1	28259518	28282491	SESN2	0.465902751	Ensembl	ENSG00000130766	0.603111111	0.022222874
chr7	77537295	77640069	PTPN12	0.463609778	Ensembl	ENSG00000127947	0.600142857	0.064592692
chrY	6865918	6911752	AMELY	0.457540142	Ensembl	ENSG00000099721	0.592285714	0.011624765
chrX	141111605	141177129	LDOC1	0.456589846	Ensembl	ENSG00000182195	0.591055556	0.004384114
chr12	20962768	21090106	SLCO1B7	0.454074932	Ensembl	ENSG00000205754	0.5878	0.00582817
chr19	52527652	52564464	ZNF808	0.453997683	Ensembl	ENSG00000198482	0.5877	0.002120714
chr17	41436154	41440983	KRT38	0.453414016	Ensembl	ENSG00000171360	0.586944444	0.012339905
chr1	43371636	43376335	FXYD4	0.453328183	Ensembl	ENSG00000150201	0.586833333	0.007669851
chr6	20099684	20212469	MBOAT1	0.452684434	Ensembl	ENSG00000172197	0.586	0.080786627
chr3	9890574	9894349	JAGN1	0.451139436	Ensembl	ENSG00000171135	0.584	0.001057756
chr19	47968046	47992170	BSPH1	0.450444187	Ensembl	ENSG00000188334	0.5831	0.008243745
chr13	27977717	27988693	URAD	0.450409854	Ensembl	ENSG00000183463	0.583055556	0.02100818
chr6	26087281	26098343	HFE	0.449379855	Ensembl	ENSG00000010704	0.581722222	0.018435807
chrY	18025787	18027746	CDY2A	0.447276941	Ensembl	ENSG00000182415	0.579	0.007333161
chrY	17878260	17880220	CDY2B	0.447276941	Ensembl	ENSG00000129873	0.579	0.007333161
chr3	11556069	11771350	VGLL4	0.446118192	Ensembl	ENSG00000144560	0.5775	0.005059303
chr6	26055740	26056470	HIST1H1C	0.446032359	synonym found: H1-2	ENSG00000187837	0.577388889	0.01214967
chr13	26254104	26420982	CDK8	0.444787778	Ensembl	ENSG00000132964	0.575777778	0.004343357
chr22	28687743	28742422	CHEK2	0.443221321	Ensembl	ENSG00000183765	0.57375	0.013434287
chr14	59429022	59465380	GPR135	0.443156946	Ensembl	ENSG00000181619	0.573666667	0.089282578
chr13	113648804	113658198	ATP4B	0.441521823	Ensembl	ENSG00000186009	0.57155	0.032631178
chr6	3722614	3751713	PXDC1	0.439407107	Ensembl	ENSG00000168994	0.5688125	0.045103416
chr2	232406844	232410714	ALPPL2	0.439049826	synonym found: ALPG	ENSG00000163286	0.56835	0.002247122
chr18	63949301	63981774	HMSD	0.436809579	Ensembl	ENSG00000221887	0.56545	0.009085711
chr2	189770267	189784364	ORMDL1	0.436762371	Ensembl	ENSG00000128699	0.565388889	0.008611579
chr11	117144284	117176894	PAFAH1B2	0.436732329	Ensembl	ENSG00000168092	0.56535	0.003718057
chrX	16650158	16654670	S100G	0.435854991	Ensembl	ENSG00000169906	0.564214286	0.009067076
chr6	108559835	108684774	FOXO3	0.432127377	Ensembl	ENSG00000118689	0.559388889	0.016370863
chr2	26692722	26733420	KCNK3	0.431102742	Ensembl	ENSG00000171303	0.5580625	0.107901647
chr2	208266255	208358746	PIKFYVE	0.430426806	Ensembl	ENSG00000115020	0.5571875	0.019527665
