#chrom	length	sex	tel_p_end	cen_start	cen_end	tel_q_start
# 0-based, start-inclusive, end-exclusive. p telomere is [0, tel_p_end), q telomere is
# [tel_q_start, length), centromere is [cen_start, cen_end). '.' marks an absent feature.
# hg19: chromosome lengths and telomere gaps from UCSC; centromeres from the UCSC gap table.
chr1	249250621	Any	10000	121535434	124535434	249240621
chr2	243199373	Any	10000	92326171	95326171	243189373
chr3	198022430	Any	10000	90504854	93504854	198012430
chr4	191154276	Any	10000	49660117	52660117	191144276
chr5	180915260	Any	10000	46405641	49405641	180905260
chr6	171115067	Any	10000	58830166	61830166	171105067
chr7	159138663	Any	10000	58054331	61054331	159128663
chr8	146364022	Any	10000	43838887	46838887	146354022
chr9	141213431	Any	10000	47367679	50367679	141203431
chr10	135534747	Any	10000	39254935	42254935	135524747
chr11	135006516	Any	10000	51644205	54644205	134996516
chr12	133851895	Any	10000	34856694	37856694	133841895
chr13	115169878	Any	10000	16000000	19000000	115159878
chr14	107349540	Any	10000	16000000	19000000	107339540
chr15	102531392	Any	10000	17000000	20000000	102521392
chr16	90354753	Any	10000	35335801	38335801	90344753
chr17	81195210	Any	10000	22263006	25263006	81185210
chr18	78077248	Any	10000	15460898	18460898	78067248
chr19	59128983	Any	10000	24681782	27681782	59118983
chr20	63025520	Any	10000	26369569	29369569	63015520
chr21	48129895	Any	10000	11288129	14288129	48119895
chr22	51304566	Any	10000	13000000	16000000	51294566
chrX	155270560	Female	10000	58632012	61632012	155260560
chrY	59373566	Male	10000	10104553	13104553	59363566
