#chrom	length	sex	tel_p_end	cen_start	cen_end	tel_q_start
# 0-based, start-inclusive, end-exclusive. p telomere is [0, tel_p_end), q telomere is
# [tel_q_start, length), centromere is [cen_start, cen_end). '.' marks an absent feature.
# hg38: chromosome lengths and telomere gaps from UCSC; centromeres from the UCSC modelled centromeres track.
chr1	248956422	Any	10000	122026459	124932724	248946422
chr2	242193529	Any	10000	92188145	94090557	242183529
chr3	198295559	Any	10000	90772458	93655574	198285559
chr4	190214555	Any	10000	49712061	51743951	190204555
chr5	181538259	Any	10000	46485900	50059807	181528259
chr6	170805979	Any	10000	58553888	59829934	170795979
chr7	159345973	Any	10000	58169653	61528020	159335973
chr8	145138636	Any	10000	44033744	45877265	145128636
chr9	138394717	Any	10000	43389635	45518558	138384717
chr10	133797422	Any	10000	39686682	41593521	133787422
chr11	135086622	Any	10000	51078348	54425074	135076622
chr12	133275309	Any	10000	34769407	37185252	133265309
chr13	114364328	Any	10000	16000000	18051248	114354328
chr14	107043718	Any	10000	16000000	18173523	107033718
chr15	101991189	Any	10000	17083673	19725254	101981189
chr16	90338345	Any	10000	36311158	38265669	90328345
chr17	83257441	Any	10000	22813679	26616164	83247441
chr18	80373285	Any	10000	15460899	20861206	80363285
chr19	58617616	Any	10000	24498980	27190874	58607616
chr20	64444167	Any	10000	26436232	30038348	64434167
chr21	46709983	Any	10000	10864560	12915808	46699983
chr22	50818468	Any	10000	12954788	15054318	50808468
chrX	156040895	Female	10000	58605579	62412542	156030895
chrY	57227415	Male	10000	10316944	10544039	57217415
