chr3	179148114	179240093	PIK3CA	1	Ensembl	ENSG00000121879
chr7	140719327	140924929	BRAF	0.991919559	Ensembl	ENSG00000157764
chr12	25205246	25250936	KRAS	0.990684897	Ensembl	ENSG00000133703
chr7	55019017	55211628	EGFR	0.976757106	Ensembl	ENSG00000146648
chr14	104769349	104795751	AKT1	0.971182378	Ensembl	ENSG00000142208
chr2	208236229	208266074	IDH1	0.969823015	Ensembl	ENSG00000138413
chr7	6374527	6403967	RAC1	0.966566176	Ensembl	ENSG00000136238
chr1	114704469	114716771	NRAS	0.955136937	Ensembl	ENSG00000213281
chr3	192796815	192917856	MB21D2	0.949804495	Ensembl	ENSG00000180611
chr2	197388515	197435079	SF3B1	0.939073449	Ensembl	ENSG00000115524
chr8	127735434	127742951	MYC	0.934400396	Ensembl	ENSG00000136997
chr17	39687914	39730426	ERBB2	0.933180756	Ensembl	ENSG00000141736
chr20	58839718	58911192	GNAS	0.924022187	Ensembl	ENSG00000087460
chr8	103298433	103332866	FZD6	0.922089463	Ensembl	ENSG00000164930
chr7	148807257	148884321	EZH2	0.916396005	Ensembl	ENSG00000106462
chr3	41194741	41260096	CTNNB1	0.913837169	Ensembl	ENSG00000168036
chr21	43092956	43107570	U2AF1	0.912173152	Ensembl	ENSG00000160201
chr9	125146573	125189939	PPP6C	0.910837314	Ensembl	ENSG00000119414
chr8	54457935	54460892	SOX17	0.900381933	Ensembl	ENSG00000164736
chr1	153390032	153391073	S100A8	0.898018552	Ensembl	ENSG00000143546
chr17	41117181	41118373	KRTAP4-11	0.896670057	Ensembl	ENSG00000212721
chr19	52170936	52229518	PPP2R1A	0.896175826	Ensembl	ENSG00000105568
chr1	226231149	226309869	LIN9	0.89387792	Ensembl	ENSG00000183814
chr8	106270144	106752694	OXR1	0.892655726	Ensembl	ENSG00000164830
chr1	146064711	146229000	NBPF10	0.888023954	Ensembl	ENSG00000163386
chr8	58805412	59119147	TOX	0.887348016	Ensembl	ENSG00000198846
chr17	41513745	41522529	KRT15	0.887346091	Ensembl	ENSG00000171346
chr20	37344685	37406050	SRC	0.886517367	Ensembl	ENSG00000197122
chr5	218303	257082	SDHA	0.885805347	Ensembl	ENSG00000073578
chr10	121478332	121598458	FGFR2	0.885754503	Ensembl	ENSG00000066468
chr7	56011051	56051604	PSPH	0.885000352	Ensembl	ENSG00000146733
chr8	107899316	108083642	RSPO2	0.884934356	Ensembl	ENSG00000147655
chr6	26199516	26199988	H2BC7	0.882820973	Entrez	8343
chr17	41084150	41085144	KRTAP4-7	0.882763836	Ensembl	ENSG00000240871
chr1	155897808	155911404	RIT1	0.882182929	Ensembl	ENSG00000143622
chr1	235547685	235650754	GNG4	0.881279786	Ensembl	ENSG00000168243
chr2	8852690	9003709	MBOAT2	0.880973392	Ensembl	ENSG00000143797
chr9	68328308	68531061	PGM5	0.878793608	Ensembl	ENSG00000154330
chr8	98102344	98117171	RIDA	0.878499176	synonym found: HRSP12	ENSG00000132541
chr3	195720884	195741123	MUC20	0.874615008	Ensembl	ENSG00000176945
chr14	65006174	65102695	MAX	0.87217375	Ensembl	ENSG00000125952
chr12	49950737	49958878	AQP2	0.871572277	Ensembl	ENSG00000167580
chr3	160495007	160565571	KPNA4	0.87144301	Ensembl	ENSG00000186432
chr3	38138478	38143024	MYD88	0.868574991	Ensembl	ENSG00000172936
chr8	120059780	120373573	COL14A1	0.868506546	Ensembl	ENSG00000187955
chr8	84182787	84921844	RALYL	0.868370523	Ensembl	ENSG00000184672
chr8	51817575	51899186	PCMTD1	0.867925839	Ensembl	ENSG00000168300
chr11	532242	537321	HRAS	0.867175151	Ensembl	ENSG00000174775
chr3	161104696	161253532	NMD3	0.866524757	Ensembl	ENSG00000169251
chr5	43444252	43483893	TMEM267	0.864838963	synonym found: C5orf28	ENSG00000151881
chr1	211940399	212035557	INTS7	0.864070916	Ensembl	ENSG00000143493
chr3	178272932	178844429	KCNMB2	0.863085636	Ensembl	ENSG00000197584
chr1	153203430	153205120	LELP1	0.863009442	Ensembl	ENSG00000203784
chr19	12064731	12081565	ZNF844	0.862979227	Ensembl	ENSG00000223547
chr1	151060397	151069544	MLLT11	0.86249944	Ensembl	ENSG00000213190
chr8	73991392	74029079	LY96	0.862093027	Ensembl	ENSG00000154589
chr7	37905932	38025695	SFRP4	0.861239229	Ensembl	ENSG00000106483
chr20	63343223	63378401	CHRNA4	0.858171897	Ensembl	ENSG00000101204
chr8	109963636	109975771	KCNV1	0.857967581	Ensembl	ENSG00000164794
chr8	130052104	130443674	ASAP1	0.856350818	Ensembl	ENSG00000153317
chr8	142784882	142786539	LY6D	0.854874765	Ensembl	ENSG00000167656
